GeneSymbol	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
1/2-SBSRNA4	57	41	64	55	38	45	31	39
A1BG	71	40	100	81	41	77	58	40
A1BG-AS1	256	177	220	189	107	213	172	126
A1CF	0	1	1	0	0	0	0	0
A2LD1	146	81	138	125	52	91	80	50
A2M	10	9	2	5	2	9	8	4
A2ML1	3	2	6	5	2	2	1	0
A2MP1	0	0	2	1	3	0	2	1
A4GALT	56	37	107	118	65	49	52	37
A4GNT	0	0	0	0	1	0	0	0
AA06	0	0	0	0	0	0	0	0
AAA1	0	0	1	0	0	0	0	0
AAAS	2288	1363	1753	1727	835	1672	1389	1121
AACS	1586	923	951	967	484	938	771	635
AACSP1	1	1	3	0	1	1	1	3
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	1	1	0	0	0	0
AADAT	856	539	593	576	359	567	521	416
AAGAB	4648	2550	2648	2356	1481	3265	2790	2118
AAK1	2310	1384	1869	1602	980	1675	1614	1108
AAMP	5198	3081	3179	3137	1721	4061	3304	2623
AANAT	7	7	12	12	4	6	2	7
AARS	5570	3323	4782	4580	2473	3953	3339	2666
AARS2	4451	2727	2281	2121	1249	2480	2074	1657
AARSD1	1622	897	1057	1017	556	887	783	563
AASDH	1278	766	980	929	568	827	717	553
AASDHPPT	5522	3184	3867	3423	2226	4620	3742	2892
AASS	1645	1001	1367	1103	833	1023	851	623
AATF	4597	2676	2780	2478	1480	3210	2667	2010
AATK	234	204	366	364	203	267	266	217
AATK-AS1	1	0	7	0	3	4	2	3
ABAT	379	232	631	545	297	400	346	300
ABCA1	78	64	213	173	106	78	91	67
ABCA10	30	20	20	14	8	18	34	23
ABCA11P	296	179	241	205	139	237	184	138
ABCA12	5	6	2	4	6	5	10	6
ABCA13	14	10	1	2	2	3	3	4
ABCA17P	13	11	13	17	5	20	12	6
ABCA2	1023	750	1143	1216	611	851	759	673
ABCA3	1376	815	935	1045	500	773	755	590
ABCA4	6	3	10	8	6	5	12	8
ABCA5	1454	924	1139	1060	704	1256	1150	835
ABCA6	8	5	2	2	1	14	10	8
ABCA7	561	403	441	472	260	425	342	291
ABCA8	42	25	52	56	26	50	46	49
ABCA9	12	8	7	4	1	16	26	16
ABCB1	854	550	895	789	513	960	784	595
ABCB10	1440	1016	1779	1715	1111	1980	1637	1260
ABCB11	1	0	1	1	2	1	2	1
ABCB4	121	98	222	198	135	128	102	95
ABCB5	1	3	7	4	2	3	8	5
ABCB6	320	232	318	321	157	267	226	188
ABCB7	2313	1360	1813	1669	1027	1456	1259	979
ABCB8	1773	1053	1240	1171	513	1180	961	801
ABCB9	346	197	239	212	96	234	217	183
ABCC1	2909	1828	2176	2048	1145	1962	1724	1383
ABCC10	915	574	695	652	333	648	549	438
ABCC11	29	13	13	12	13	19	14	8
