baseMean log2FoldChange lfcSE stat pvalue padj
1/2-SBSRNA4 45.6520398838297 -0.0210200711674165 0.195586510213856 -0.107471988453769 0.914414546568463 0.954834873253611
A1BG 61.0931017446029 -0.324545031367324 0.184784857779975 -1.75633996890461 0.0790303764616536 0.180247096458283
A1BG-AS1 175.665806942797 -0.0322830762805213 0.132551807206251 -0.243550630964153 0.807578867741467 0.890759602770832
A1CF 0.237691930820274 0.0129312589042411 0.0443389968730191 0.291645274277957 0.770557855631405 NA
A2LD1 89.6179845194553 0.177918035875852 0.169035937995479 1.05254561832059 0.292549292402577 0.467118634001353
A2M 5.86008405881564 0.00626157014671279 0.174214831795924 0.0359416593992848 0.971328877914882 0.985446855565452
A2ML1 2.42405528351702 0.0847538732472063 0.128136583394879 0.661433846616778 0.508334125943046 NA
A2MP1 1.32032366583202 -0.0637781835635235 0.0932243618374347 -0.684136445736581 0.493889009677106 NA
A4GALT 64.5409534041046 -0.239137709900784 0.185874142542466 -1.28655716513204 0.198248681870256 0.356825264288979
A4GNT 0.191278119184428 0 0.0379988233244911 0 1 NA
AA06 0 NA NA NA NA NA
AAA1 0.104027249105564 0 0.0378834184830031 0 1 NA
AAAS 1453.66728380191 -0.016287998128903 0.0724375867837471 -0.2248556150487 0.822091599143244 0.900406548463431
AACS 860.187476561106 0.263043011858258 0.0779057036530938 3.37642816281542 0.000734335454835065 0.00407266476098307
AACSP1 1.45963342063356 -0.0685226770119848 0.101176000944508 -0.677262160713066 0.498239634453561 NA
AADAC 0 NA NA NA NA NA
AADACL2 0 NA NA NA NA NA
AADACL3 0 NA NA NA NA NA
AADACL4 0.215575506924577 0 0.0430395736608317 0 1 NA
AADAT 535.382637629123 0.0688751032895117 0.0891713384137506 0.772390596740117 0.439883121494092 0.612779385940259
AAGAB 2613.70664090997 -0.0146569818063804 0.0590165254402962 -0.24835385846644 0.803860630935094 0.888377907411023
AAK1 1511.47059440313 -0.06755739422514 0.0699514661172056 -0.965775243537366 0.334156658920399 0.509976437085976
AAMP 3156.70141024047 -0.088592880761054 0.0544704606205031 -1.62643898641288 0.10385630290238 0.22177879672248
AANAT 6.94497013375795 0.0350965815512216 0.177349698373577 0.197894791325174 0.84312737950978 0.914108885469732
AARS 3690.03330258063 0.0158573527930357 0.0531235803300973 0.298499323549012 0.765322092326709 0.863979008431086
AARS2 2255.39148886102 0.384845314801427 0.0550233222637446 6.99422170396653 2.66735477367214e-12 1.11123532033192e-10
AARSD1 873.807315646392 0.334834775180306 0.0759323214599104 4.40964754853554 1.03538993394093e-05 0.000103694588003041
AASDH 796.359854991024 0.138998083014916 0.0756005148917446 1.83858645954929 0.0659760343610784 0.157899145682521
AASDHPPT 3560.52307574277 -0.187400641976795 0.0584633322200689 -3.20543894541245 0.00134856653170498 0.00679221198859994
AASS 1018.37800174182 0.261578375320109 0.0870841875412733 3.00374135311459 0.00266681933327594 0.0119965518132932
AATF 2613.47138757535 0.0622241283590351 0.0557880450796 1.11536671109826 0.26469330861008 0.436216322266313
