"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"	"sample7"	"sample8"	"sample9"	"sample10"	"sample11"	"sample12"	"GeneName"
"ENSMUSG00000000001"	19.7848	19.265	20.8895	24.0767	23.7222	20.8198	2.61161	5.84954	6.51263	24.1981	24.0465	26.9158	"Gnai3"
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	"Pbsn"
"ENSMUSG00000000028"	0.937792	1.03229	0.892183	0.827891	0.826954	1.16863	1.13441	0.698754	0.925117	1.04592	0.975327	0.673563	"Cdc45"
"ENSMUSG00000000031"	0.0359631	0	0	0	0	0.0511932	0	0.0298449	0.0597726	0	0	0.0204382	"H19"
"ENSMUSG00000000037"	0.151417	0.056033	0.146196	0.180883	0.0473238	0.143884	0	0.0685938	0.0494147	0.017004	0.0206405	0.0662324	"Scml2"
"ENSMUSG00000000049"	0.256733	0.258134	0.421286	2.19172	1.07302	1.68538	0.252342	0.297032	0.20828	0.36955	0.0634322	0.116197	"Apoh"
"ENSMUSG00000000056"	5.99981	6.04799	6.02025	5.62012	6.41163	5.51777	7.3949	8.02446	8.16998	8.49791	8.60562	7.86054	"Narf"
"ENSMUSG00000000058"	5.27847	3.97181	6.16145	7.04591	5.21366	7.39511	1.13985	0.641175	0.629602	1.58082	1.01689	1.38805	"Cav2"
"ENSMUSG00000000078"	37.2141	32.303	31.2496	4.26057	3.56341	5.38282	9.94056	7.53332	10.7182	17.9056	14.1614	17.8086	"Klf6"
"ENSMUSG00000000085"	25.4044	22.9507	21.4156	16.8254	17.9712	17.7215	11.3721	11.0913	12.4428	19.6968	19.2192	24.085	"Scmh1"
"ENSMUSG00000000088"	114.664	113.552	99.3445	223.153	195.87	193.232	252.809	853.979	830.703	128.969	135.738	139.378	"Cox5a"
"ENSMUSG00000000093"	0.722611	1.4747	1.06196	0.164318	0.201829	0.197125	1.769	2.41924	4.18875	0.624965	0.495501	0.987224	"Tbx2"
"ENSMUSG00000000094"	0.00514853	0.0529831	0.0734683	0.0413359	0.223309	0.278842	0	0.005563	0.0147304	0.0255498	0	0.00919884	"Tbx4"
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	"Zfy2"
"ENSMUSG00000000120"	316.047	309.596	297.233	8.73788	6.65014	9.63375	52.2346	70.1882	63.4166	177.215	155.449	160.367	"Ngfr"
"ENSMUSG00000000125"	0.3649	0.431764	0.29872	0.0167966	0.0144202	0	0	0.0428637	0.0373345	0.316312	0.390483	0.330389	"Wnt3"
"ENSMUSG00000000126"	4.64958	3.55061	3.93439	5.45301	5.27728	4.16439	0.63701	1.08894	0.915849	5.76519	6.35234	5.21701	"Wnt9a"
"ENSMUSG00000000127"	8.28828	7.22679	7.56826	11.5169	8.31334	8.69086	3.04145	2.57282	3.04853	9.69557	9.26286	10.1328	"Fer"
"ENSMUSG00000000131"	59.8459	67.1003	66.2407	46.6278	50.7176	51.4121	48.928	27.6081	39.9663	66.1717	75.3902	78.7299	"Xpo6"
"ENSMUSG00000000134"	9.68071	10.1641	10.5344	9.88649	12.3363	10.5566	6.08645	5.77554	6.64199	11.8253	13.8542	14.92	"Tfe3"
"ENSMUSG00000000142"	1.47173	1.04671	1.27076	1.33567	1.52985	1.89267	1.08638	1.06817	1.06692	4.15996	3.73067	3.26235	"Axin2"
"ENSMUSG00000000148"	1.67963	1.57636	1.93486	3.5165	3.58757	3.21423	0.818274	1.87322	1.73306	2.34085	2.27128	3.16054	"Brat1"
"ENSMUSG00000000149"	20.4623	17.4716	17.7772	23.7242	25.2408	22.6767	7.85623	12.7055	13.9987	17.4403	20.3403	27.7848	"Gna12"
"ENSMUSG00000000154"	6.0002	6.69481	6.64206	70.0654	55.5335	78.3312	2.84123	3.24094	2.75504	4.0069	5.81909	3.18794	"Slc22a18"
"ENSMUSG00000000157"	0	0	0	0	0	0	0	0.00736953	0.00626337	0	0.0361825	0.0198865	"Itgb2l"
