	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1/2-SBSRNA4	45.6520398838297	-0.0206592096083911	0.196164654355944	-0.10531565778871	0.916125338949635	0.955016517037047
A1BG	61.0931017446029	-0.32256675312904	0.185475291517241	-1.73913598135014	0.0820108469241804	0.182758649862369
A1BG-AS1	175.665806942797	-0.0319845861328929	0.133455252759807	-0.239665247125632	0.810589778576641	0.890888095737553
A1CF	0.237691930820274	0.0124901690275348	0.0435668570593829	0.286689696493606	0.7743499275864	NA
A2LD1	89.6179845194553	0.177243867339901	0.170067419548127	1.04219766379029	0.297320045970315	0.468097266634282
A2M	5.86008405881564	0.00616024674262742	0.173173159151595	0.0355727571917468	0.971623031179996	0.984900888702466
A2ML1	2.42405528351702	0.0836709534042711	0.127226008025955	0.657656046138002	0.510759171958313	NA
A2MP1	1.32032366583202	-0.0621697130975491	0.0922576257894388	-0.673870724133311	0.500393506080068	NA
A4GALT	64.5409534041046	-0.23747753194492	0.186436729503437	-1.27377010193982	0.20274490395253	0.358555559589982
A4GNT	0.191278119184428	0	0.037852998475548	0	1	NA
AA06	0	NA	NA	NA	NA	NA
AAA1	0.104027249105564	0	0.037852998475548	0	1	NA
AAAS	1453.66728380191	-0.0162877463918556	0.0726791547002497	-0.224104785739888	0.822675768704669	0.898781066707296
AACS	860.187476561106	0.262873121029143	0.078380279975745	3.35381707121344	0.000797050369352521	0.00431099083451535
AACSP1	1.45963342063356	-0.0672419481819178	0.100220519226078	-0.670939930277483	0.502258797533403	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0.215575506924577	0	0.042400201095416	0	1	NA
AADAT	535.382637629123	0.0688114134124948	0.089791623456121	0.766345576167484	0.443470706540453	0.611972288782834
AAGAB	2613.70664090997	-0.01467272636138	0.0591890635289562	-0.2478959031714	0.804214949791197	0.886634317566528
AAK1	1511.47059440313	-0.0675372212417005	0.0701893554592901	-0.962214580825894	0.335941826328867	0.507692574230201
AAMP	3156.70141024047	-0.0885880359436602	0.0545854087141333	-1.62292521079398	0.104605393506742	0.219660045113847
AANAT	6.94497013375795	0.0347103952531825	0.176272264804181	0.196913537655751	0.843895199574792	0.912301722796623
AARS	3690.03330258063	0.0158564386464893	0.0532267476307306	0.297903579540422	0.765776755851779	0.862035029885118
AARS2	2255.39148886102	0.384796896051818	0.0551793834925198	6.97356280002625	3.09013398848126e-12	1.26338627660295e-10
AARSD1	873.807315646392	0.334676229565867	0.0763179402304792	4.38528907561117	1.15831849514447e-05	0.000113478787414248
AASDH	796.359854991024	0.138944128247311	0.0760161099222101	1.82782476490178	0.0675758552328607	0.158576242386603
AASDHPPT	3560.52307574277	-0.187383798922687	0.0585861430443588	-3.19843207259451	0.00138177081392801	0.00685691110817352
AASS	1018.37800174182	0.261484470074905	0.087485589902874	2.98888617388536	0.00279996420138788	0.0123206334364461
AATF	2613.47138757535	0.0622154433078362	0.0559141759224366	1.11269534570519	0.265839295155541	0.433610335145326
AATK	264.021563951916	-0.489436571684385	0.132006094328613	-3.7076816352584	0.000209165384502737	0.00138292410628146
AATK-AS1	2.58860044931531	-0.157917312982403	0.122592010680212	-1.28815338051954	0.197692576583285	NA
ABAT	384.161134678001	-0.54937550282039	0.106859050291344	-5.14112282789856	2.7310143625404e-07	4.18710735485155e-06
ABCA1	108.221084734236	-0.383217763267595	0.169412087245827	-2.26204499039978	0.0236946237587275	0.0702518861960257
ABCA10	20.5070871518849	-0.229796706495271	0.207300911382206	-1.10851758905965	0.267638347173046	0.43576905340384
ABCA11P	195.456075183862	-0.0408863377649148	0.128463293281615	-0.318272533114066	0.750278217279738	0.851758750835218
ABCA12	5.86178644624676	-0.153616155977422	0.166244607718167	-0.9240369241801	0.35546709159229	0.527721755212673
ABCA13	4.55711459781512	0.300084597715671	0.160271953018241	1.87234629680664	0.0611587095832782	NA
ABCA17P	11.5026176570889	-0.137915252997226	0.197255530016465	-0.699170527618235	0.484445466830315	0.649024429071628
ABCA2	859.231929191648	-0.155583424203518	0.0955936332220953	-1.62755006750342	0.103620324116072	0.21815026202947
ABCA3	811.095893826766	0.208145889069566	0.0902245715180821	2.30697564496442	0.0210561778876561	0.0639360785489316
ABCA4	7.41314224185916	-0.28500234614119	0.180096334918626	-1.5824994232668	0.113535603872809	0.233841610673906
ABCA5	1039.85343690225	-0.248798948806856	0.0764735586022031	-3.25339834257024	0.00114033518775527	0.00583158280356658
ABCA6	6.12494272420089	-0.341035416415276	0.175980539434143	-1.93791550765703	0.0526335316674671	0.131116667644992
ABCA7	387.332376132663	0.0634260446067688	0.106283453580366	0.596763112884826	0.550665548735653	0.704477435336339
ABCA8	43.0593542427917	-0.601171011421843	0.19777639457619	-3.03964996788458	0.00236853248937137	0.010728302002599
ABCA9	11.2265541551292	-0.55017486348569	0.196293967150886	-2.80281086307042	0.00506593687040193	0.020013212941986
