	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1/2-SBSRNA4	45.6520398838297	0.266586546716256	0.189028233174449	1.41030015590439	0.158451072522855	0.270896401668846
A1BG	61.0931017446029	0.208057615154514	0.174705215493075	1.19090672002726	0.23369020614715	0.363867078201668
A1BG-AS1	175.665806942797	-0.0518257391535563	0.125162937472006	-0.414066178058082	0.678825641638323	0.783758612960278
A1CF	0.237691930820274	0.0125573900712082	0.0482188149231343	0.260425107734937	0.794535877760567	NA
A2LD1	89.6179845194553	0.343006363597966	0.160830660229405	2.13271749993882	0.0329479074603581	0.0765255322572089
A2M	5.86008405881564	-0.270449533687494	0.178551094882419	-1.5146898643528	0.129850962402005	0.231866579671705
A2ML1	2.42405528351702	0.2360413487931	0.136277248951577	1.73206716901785	0.0832616038415425	NA
A2MP1	1.32032366583202	0.0795254694900445	0.0998357197213506	0.796563291295004	0.425704703941485	NA
A4GALT	64.5409534041046	0.795049160068004	0.172528217066921	4.60822683723449	4.06117467454174e-06	2.87556516292325e-05
A4GNT	0.191278119184428	0.0094583736916204	0.0419193768159404	0.225632497666896	0.821487263073872	NA
AA06	0	NA	NA	NA	NA	NA
AAA1	0.104027249105564	0.0094583736916204	0.0419193768159404	0.225632497666896	0.821487263073872	NA
AAAS	1453.66728380191	-0.0431773142795659	0.0663684452032471	-0.650569922910495	0.515324151117241	0.649773833153233
AACS	860.187476561106	-0.0453464327310444	0.0730288259393988	-0.620938816251463	0.534639880373233	0.667125692910913
AACSP1	1.45963342063356	-0.0391879007092269	0.107446662185488	-0.36471957259664	0.715320746762746	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0.215575506924577	0.0243067673194529	0.0469335226885529	0.517897782375097	0.604529589362447	NA
AADAT	535.382637629123	-0.0430122224493772	0.0834193655461416	-0.515614356064431	0.606123781567379	0.725935330442344
AAGAB	2613.70664090997	-0.390072424238591	0.0544012015308816	-7.17029060501837	7.48387326197052e-13	1.97175918926272e-11
AAK1	1511.47059440313	-0.0518196760915006	0.063996132432064	-0.809731371602971	0.418094583431755	0.560943353707052
AAMP	3156.70141024047	-0.379793418434881	0.0499907212793291	-7.59727822914856	3.02423869276645e-14	1.0334924486682e-12
AANAT	6.94497013375795	0.208391006729246	0.184586497550324	1.12896127016242	0.258914172112635	0.392698514527381
AARS	3690.03330258063	0.166832405739513	0.0480978648609703	3.46860315362754	0.000523171636654345	0.002166288639987
AARS2	2255.39148886102	-0.203488798303429	0.0514837396223487	-3.95248674234021	7.73432155126041e-05	0.000396547842246826
AARSD1	873.807315646392	0.158546463459138	0.0707822583965971	2.23991812426771	0.0250962387753847	0.0608320315174223
AASDH	796.359854991024	0.169716902176561	0.0699237571279529	2.42717080928586	0.0152170895901526	0.040008234098687
AASDHPPT	3560.52307574277	-0.292713004837799	0.0532022185089171	-5.50189471494948	3.75731317559983e-08	4.09171404822822e-07
AASS	1018.37800174182	0.346912136963431	0.0798987251442342	4.34189827606361	1.41256935107782e-05	8.74449051066663e-05
AATF	2613.47138757535	-0.289504390962299	0.0514674029162198	-5.62500484886644	1.85502763944786e-08	2.13845282218637e-07
AATK	264.021563951916	0.211441526914427	0.118975318442562	1.77718815702523	0.0755372873294272	0.150769988822849
AATK-AS1	2.58860044931531	0.0139357024627661	0.131941777243032	0.105620090572958	0.915883783940393	0.949299594585427
ABAT	384.161134678001	0.383823181287505	0.0936803051294248	4.09715981130966	4.18250167108387e-05	0.000229419626585477
ABCA1	108.221084734236	0.829744285109581	0.152694674043496	5.43400934123755	5.51016943260981e-08	5.77718983836208e-07
ABCA10	20.5070871518849	-0.47746072960318	0.207815675891318	-2.29752027875356	0.0215891075980835	0.0535873077974007
ABCA11P	195.456075183862	0.00871230024666591	0.119816597394176	0.0727136343056372	0.942033998664596	0.965513820492762
ABCA12	5.86178644624676	-0.179851106715965	0.174034688190375	-1.03342102994564	0.301406909119313	0.44018612967939
ABCA13	4.55711459781512	-0.132701592560634	0.164791550644171	-0.805269396652331	0.420664237807196	0.563472761343219
ABCA17P	11.5026176570889	-0.0723482268359524	0.202150820048889	-0.357892324248081	0.720423895148232	0.813783578400275
ABCA2	859.231929191648	0.274139113734612	0.0864097927776273	3.17254682510465	0.0015110818949526	0.00550971490045774
ABCA3	811.095893826766	0.131908927257441	0.0830031086033672	1.58920466325872	0.112014194015242	0.206149921397074
ABCA4	7.41314224185916	-0.048540405593537	0.188617414196798	-0.257348483968142	0.7969097676399	0.868529560608338
ABCA5	1039.85343690225	-0.208641935194557	0.0698552835259946	-2.98677386538582	0.00281938185654747	0.00945735363856629
ABCA6	6.12494272420089	-0.603057136516184	0.181053430583988	-3.33082413611839	0.000865892880633618	0.00337252270032193
ABCA7	387.332376132663	0.0741113246369451	0.0983677582230151	0.753410731074333	0.451203136263341	0.592564744495242
ABCA8	43.0593542427917	-0.156881483054014	0.189947903547008	-0.825918476195181	0.408850338936106	0.551446642434257
ABCA9	11.2265541551292	-0.828720583947319	0.199856117095087	-4.14658603395678	3.37469408930322e-05	0.000189435147590268
ABCB1	729.169590165103	-0.144352340766507	0.0745713342950171	-1.93576180621128	0.05289688074185	0.113015736659185
ABCB10	1483.44155508834	-0.130036116000593	0.0691393654208928	-1.88078260783831	0.0600014969810024	0.125251316032823
ABCB11	1.2162754957169	0.00278532898863269	0.1015734748277	0.0274218145372843	0.978123299304928	NA
ABCB4	137.150390249508	0.621830600686255	0.139848196685542	4.44646849529625	8.72934623663873e-06	5.69989273878845e-05
ABCB5	4.24663741101449	-0.0936779625359188	0.161217935552128	-0.581064149066894	0.561197219901442	0.689986195024089
ABCB6	246.003743077997	0.128432991927514	0.113124203000268	1.13532726438046	0.256238222740764	0.389710680280738
ABCB7	1427.08599140776	0.216665490302107	0.0580616567293511	3.7316449875358	0.000190233469555415	0.000883555224676629
ABCB8	1030.24384337276	-0.109277994894792	0.0829737801448848	-1.31701839670286	0.187832458111862	0.309142892015845
ABCB9	205.677987864865	-0.285821035206226	0.122819267630699	-2.32716772148204	0.0199563402719681	0.050190426226728
ABCC1	1824.13634490054	0.00369726203826829	0.0557861149610289	0.0662756680735184	0.947158354688329	0.968381531190702
ABCC10	575.224113137901	-0.0429510513033688	0.0810950383051026	-0.529638461255481	0.596362622427205	0.718675395515631
ABCC11	14.503334785599	-0.0446479628361783	0.206226282172426	-0.21649986784346	0.828598128162673	0.889300290639767
ABCC12	0.584923854060932	-0.0247237358218533	0.0724336600409067	-0.341329373773059	0.732855637179617	NA
ABCC13	0.111548257819013	0.00945837369162042	0.0419193768159404	0.225632497666896	0.821487263073871	NA
ABCC2	93.4689746063509	-0.450529178826113	0.156043166898366	-2.88720863451556	0.00388676406493816	0.0124980887796781
ABCC3	2.20605463984553	-0.0313787156128188	0.131343917386272	-0.238904977384955	0.811179265911047	NA
ABCC4	670.039738112471	-0.111081996883592	0.0756352073524046	-1.46865462225853	0.141926491317655	0.249099520325979
ABCC5	2012.89642223321	-0.107595749730598	0.0580277687133328	-1.8542113907936	0.0637089230883613	0.131333323908175
ABCC6	87.8078117125294	0.394641920474668	0.160684031864421	2.45601206227916	0.0140488441747797	0.0374368465897271
ABCC6P1	24.8900219262557	0.471998333127937	0.204849613839992	2.30412117592086	0.0212158423505956	0.0528213358934582
ABCC6P2	7.00005077562097	0.302612865924983	0.186725979019418	1.62062540795951	0.105097999722391	0.196222514360439
ABCC8	59.7707057622567	0.12658098099344	0.182599282476349	0.69321729678667	0.488173194983135	0.626318191862931
ABCC9	3.9096435063225	0.107909165379285	0.153494615237003	0.703015967124763	0.482045798899247	0.620848231886715
ABCD1	232.738821409769	-0.148178698569572	0.126845490175616	-1.16818263199125	0.24273310465209	0.374725630967555
ABCD2	43.9193595855086	0.171894891693611	0.187709188351683	0.915751078586291	0.359797467831032	0.501694007027868
ABCD3	3040.32256839294	-0.141211010512782	0.0687827420386785	-2.05300059764084	0.0400725195448406	0.0899401768020021
ABCD4	1188.28208469848	-0.134130057635859	0.0652895014711564	-2.05438936756341	0.0399380213131483	0.0896506222550883
ABCE1	4177.09178592896	-0.155127433657811	0.0610162394332198	-2.5423958457419	0.0110095408355044	0.0305228868886564
ABCF1	5876.27028171906	-0.290203773255324	0.0487895354444641	-5.94807412310076	2.71315735083793e-09	3.73373423133425e-08
ABCF2	3488.6483291508	-0.474339155837377	0.0514481883691031	-9.21974457942699	2.97808763392761e-20	2.49472110257475e-18
ABCF3	984.473363396655	-0.100394997600797	0.071017868782524	-1.41365827110686	0.157462263107663	0.26956047661535
ABCG1	111.541849399807	0.315949139861876	0.142664597673165	2.2146288919252	0.0267855472394063	0.0643822710647002
ABCG2	209.049253101372	-0.465315267338574	0.118867360293438	-3.91457559240727	9.05633625487787e-05	0.000456167908490379
ABCG4	140.586336219679	0.20624357155821	0.139568858459282	1.47771912613572	0.139482972878495	0.245576025217742
ABCG5	1.71741120605671	-0.13997583429312	0.117137853509537	-1.1949667003393	0.232100040700935	NA
ABCG8	1.73302068259441	0.110890517259697	0.118274907629546	0.937565874978504	0.348467555330699	NA
ABHD1	44.2981245721998	0.443359552740255	0.192734723668329	2.3003615762732	0.02142774378979	0.0532434126568634
ABHD10	2173.41881026397	-0.0212568213835547	0.0645496613531751	-0.329309572473987	0.741921709485575	0.830660488408392
ABHD11	495.217133447369	-0.055704972726093	0.0864663906356942	-0.644238441278217	0.519420826913799	0.65357719978716
ABHD11-AS1	1.86087841347484	-0.157333496283603	0.111528913662993	-1.41069693155102	0.158333996138206	NA
ABHD12	963.585937483782	-0.0339015762554457	0.0733410500363808	-0.462245580594072	0.643905219907632	0.757085709867644
ABHD12B	0	NA	NA	NA	NA	NA
ABHD13	606.996501380717	0.358011404152358	0.0808047469532697	4.43057391615123	9.39826252098511e-06	6.09208802699571e-05
ABHD14A	101.368408648678	-0.020586954217203	0.16283901793102	-0.126425192676634	0.899395361272486	0.938871479289997
ABHD14A-ACY1	0	NA	NA	NA	NA	NA
ABHD14B	493.725923706948	0.761977735560527	0.0983612054833204	7.74673034776642	9.42888905731856e-15	3.54886872698845e-13
ABHD15	468.170839914062	0.123120821180283	0.0862160524935772	1.42804985405073	0.153277509513381	0.264084813616821
ABHD16A	461.890661751839	0.0269478050189375	0.0870050491788551	0.309726909797399	0.756768637328687	0.841970827595975
ABHD16B	1.31644416291795	-0.0627890241900829	0.106831713528957	-0.587737686834573	0.556708375359742	NA
ABHD2	2097.45364271488	0.0988215291567243	0.0545151427142512	1.81273540224798	0.0698726414265034	0.141416131545277
ABHD3	686.751264863436	-0.118787868216321	0.0797987478333034	-1.48859313512619	0.136594540429215	0.241453502641621
ABHD4	461.441432412918	0.0894783035391812	0.0914901067477313	0.97801070213966	0.328069030978746	0.468977651267858
